Gender,Age,Type_of_Travel,Class,Inflight_wifi_service,Arrival_time_convenient,Ease_of_Online_booking,Gate_location,Food_and_drink,boarding_process,Seat_comfort,Onboard_service,Leg_room,Baggage_handling,Checkin_service,Cleanliness,Minutes_delay_departing,Minutes_delay_arriving,Next_Flight_Distance
0,63,1,1,5,5,5,2,5,5,5,2,4,3,1,1,3,0,4983
0,13,1,0,5,5,5,1,5,1,5,4,5,5,1,1,3,0,4963
1,21,1,0,5,2,5,4,5,1,5,4,1,4,2,5,20,1,3365
1,42,0,0,5,3,5,3,5,5,5,5,5,5,3,3,0,0,2724
1,17,1,1,2,4,5,4,5,2,2,3,4,5,2,2,0,7,2717
1,15,0,0,1, ,1,4,5,1,5,5,3,5,5,1,0,0,2704
0,40,0,0,4,1,1,1,5,4,4,4,5,2,4,4,0,0,2611
1,25,1,0,5,2,5,3,5,1,2,4,3,3,1,2,0,0,2607
0,43,1,0,4,5,5,1,5,5,5,4,5,5,5,5,0,0,2588
0,17,1,0,5,4,5,1,5,4,4,5,5,5,4,4,0,1,2586
0,13,0,0,2,1,5,2,5,1,4,4,4,1,3,4,5,0,2586
1,52,0,1,2,1,5,2,5,2,5,1,5,1,2,3,0,0,2586
0,67,1,0,5,4,5,3,5,1,5,1,4,4,1,1,32,2,2565
0,32,1,0,4,4,5,3,5,5,5,4,3,5,5,5,0,0,2565
1,64,0,0,4,3,5,3,5,3,4,2, ,2,2,3,0,0,2556
0,53,1,1,2,3,5,3,5,4,4,3,5,3,3,1,0,3,2521
1,55,1,0,5,1,5,2,5,1,5,1,1,2,1,1,0,0,2521
0,33,1,0,3,2,3,4,5,3,3,1,4,4,3,3,65,72,2496
1,40,1,0, ,4,1,4,5,3,4,3,3,3,4,4,0,5,2486
0,49,0,0,2,2,1,4,4,1,3,1,5,4,4,2,0,0,2486
1,19,0,0,2,4,5,3,4,1,5,3,3,4,1,2,19,1,2486
0,50,1,0,1,5,1,3,2,1,4,4,5,4,5,4,0,0,2475
1,53,0,1,2,5,4,1,5,4,5,4,5,5,3,1,0,0,2475
1,35,1,0,2,1,5,3,5,4,4,2,3,4,4,4,0,0,2475
0,26,0,0,2,2,5,4,4,1,5,3,1,3,2,2,0,0,2475
1,66,1,0,5,4,5,5,4,5,5,5,5,5,4,5,0,0,2466
1,49,1,0,2,1,5,4,5,2,4,2,5,2,3,2,9,1,2465
0,47,1,0,4,4,2,2,5,2,3,5,2,4,4,3,0,0,2442
1,13,0,0, ,2,5,3,5,1,5,1,2,1,1,3,0,0,2422
